Hansel and Gretel,0.0,1.0
"There is a poor woodcutter. He has a son and a daughter. The boy is Hansel, and the girl is Gretel. One day their father marries an evil stepmother.",-0.7,0.0
"Their stepmother says to their father, “We are starving. So I will leave children in the forest.” Hansel hears that.",0.0,1.0
"That night, Hansel picks up shiny stones. “We will find our home.” After Hansel hides the stones, he sleeps.",0.0,1.0
"The next day, the stepmother takes the kids to the forest. Hansel drops the stones on the ground. He thinks, ‘We can follow the stones home.’",0.0,1.0
"The stepmother says, “Wait by this big tree.” But never comes back.",0.0,1.0
Hansel and Gretel follow the shiny stones out of the forest.,0.0,1.0
"A few days later, the stepmother says, “Let’s have a picnic in the forest.”",-0.1,0.0
"“Boo hoo!” Gretel cries. She thinks, ‘Stepmother will leave us in the forest, again.’ But Hansel has no time to pick up the shiny stones.",0.0,1.0
Hansel drops breadcrumbs on the ground. ‘We can follow the breadcrumbs home.’ But the birds eat all the breadcrumbs. And they can’t find their home.,0.0,1.0
Hansel and Gretel find a house. The house is made of cookies and cakes.,0.0,1.0
"Gretel shouts, “Look! A cookie house!”",0.0,1.0
"While Hansel and Gretel eat the cookies and cakes, a strange lady appears. She says, “Children, come inside and eat yummy food.”",-0.05,1.0
"The lady is an evil witch. She says, “He, he, he! I like eat kids!”",-1.0,0.0
she locks Hansel in a cellar. Gretel has to do housework.,0.0,1.0
"The witch boils some water to cook the children. But Gretel pushes the witch into the water,",0.0,1.0
“Hyap!”,0.0,1.0
"“Oh, no!”",0.0,1.0
cries the witch.,0.0,1.0
Hansel and Gretel take her jewels. And they run away.,0.0,1.0
"Hansel and Gretel find their home. Their father says, “I am so sorry. But now your stepmother is gone.” They live happily ever after.",0.14545454545454548,1.0
